## Muestra el numero de rayos que golpean cada bin
## Nx =40, Ny=40
## x[m], y[m], z[W/m2]
-0.568093, -0.33639, 1.66636
-0.568093, -0.287818, 1.83994
-0.568093, -0.239247, 2.82934
-0.568093, -0.190676, 3.57572
-0.568093, -0.142105, 4.02703
-0.568093, -0.0935339, 5.45038
-0.568093, -0.0449627, 6.78693
-0.568093, 0.00360839, 7.94991
-0.568093, 0.0521795, 9.89399
-0.568093, 0.100751, 11.2653
-0.568093, 0.149322, 11.3347
-0.568093, 0.197893, 13.6954
-0.568093, 0.246464, 12.6192
-0.568093, 0.295035, 13.2614
-0.568093, 0.343606, 11.3868
-0.568093, 0.392177, 9.49476
-0.568093, 0.440749, 8.10613
-0.568093, 0.48932, 5.57188
-0.568093, 0.537891, 4.53041
-0.568093, 0.586462, 1.99616
-0.568093, 0.635033, 1.05883
-0.568093, 0.683604, 0.433947
-0.568093, 0.732175, 0.138863
-0.568093, 0.780747, 0.0867894
-0.568093, 0.829318, 0
-0.568093, 0.877889, 0.0173579
-0.568093, 0.92646, 0
-0.568093, 0.975031, 0
-0.518414, -0.919243, 0
-0.518414, -0.870672, 0
-0.518414, -0.822101, 0
-0.518414, -0.77353, 0
-0.518414, -0.724959, 0
-0.518414, -0.676387, 0.0520737
-0.518414, -0.627816, 0.173579
-0.518414, -0.579245, 0.451305
-0.518414, -0.530674, 0.57281
-0.518414, -0.482103, 1.18034
-0.518414, -0.433532, 1.51014
-0.518414, -0.384961, 2.37803
-0.518414, -0.33639, 4.00967
-0.518414, -0.287818, 4.51305
-0.518414, -0.239247, 6.87372
-0.518414, -0.190676, 7.77633
-0.518414, -0.142105, 9.39062
-0.518414, -0.0935339, 10.9181
-0.518414, -0.0449627, 12.6886
-0.518414, 0.00360839, 15.8998
-0.518414, 0.0521795, 16.9934
-0.518414, 0.100751, 19.0242
-0.518414, 0.149322, 20.4997
-0.518414, 0.197893, 21.4891
-0.518414, 0.246464, 20.7427
-0.518414, 0.295035, 20.2393
-0.518414, 0.343606, 17.8092
-0.518414, 0.392177, 14.0599
-0.518414, 0.440749, 11.6471
-0.518414, 0.48932, 8.27971
-0.518414, 0.537891, 6.14469
-0.518414, 0.586462, 3.73195
-0.518414, 0.635033, 1.71843
-0.518414, 0.683604, 0.763747
-0.518414, 0.732175, 0.225653
-0.518414, 0.780747, 0.0520737
-0.518414, 0.829318, 0.0173579
-0.518414, 0.877889, 0.0173579
-0.518414, 0.92646, 0
-0.518414, 0.975031, 0
-0.468735, -0.919243, 0
-0.468735, -0.870672, 0
-0.468735, -0.822101, 0
-0.468735, -0.77353, 0.0173579
-0.468735, -0.724959, 0
-0.468735, -0.676387, 0.104147
-0.468735, -0.627816, 0.381873
-0.468735, -0.579245, 0.867894
-0.468735, -0.530674, 1.49278
-0.468735, -0.482103, 2.49954
-0.468735, -0.433532, 4.18325
-0.468735, -0.384961, 5.13793
-0.468735, -0.33639, 7.62011
-0.468735, -0.287818, 9.84192
-0.468735, -0.239247, 11.9596
-0.468735, -0.190676, 14.355
-0.468735, -0.142105, 18.3646
-0.468735, -0.0935339, 20.031
-0.468735, -0.0449627, 21.1593
-0.468735, 0.00360839, 24.8391
-0.468735, 0.0521795, 27.4602
-0.468735, 0.100751, 29.9076
-0.468735, 0.149322, 29.1439
-0.468735, 0.197893, 30.8276
-0.468735, 0.246464, 29.0397
-0.468735, 0.295035, 26.0715
-0.468735, 0.343606, 24.4225
-0.468735, 0.392177, 20.0484
-0.468735, 0.440749, 16.1949
-0.468735, 0.48932, 11.3347
-0.468735, 0.537891, 7.08202
-0.468735, 0.586462, 4.32211
-0.468735, 0.635033, 2.51689
-0.468735, 0.683604, 0.954684
-0.468735, 0.732175, 0.381873
-0.468735, 0.780747, 0.0694315
-0.468735, 0.829318, 0.0520737
-0.468735, 0.877889, 0.0173579
-0.468735, 0.92646, 0
-0.468735, 0.975031, 0
-0.419057, -0.919243, 0
-0.419057, -0.870672, 0
-0.419057, -0.822101, 0.0173579
-0.419057, -0.77353, 0.0694315
-0.419057, -0.724959, 0.156221
-0.419057, -0.676387, 0.364516
-0.419057, -0.627816, 1.19769
-0.419057, -0.579245, 2.08295
-0.419057, -0.530674, 3.50629
-0.419057, -0.482103, 5.81489
-0.419057, -0.433532, 8.19292
-0.419057, -0.384961, 11.6471
-0.419057, -0.33639, 14.5633
-0.419057, -0.287818, 18.0001
-0.419057, -0.239247, 22.2007
-0.419057, -0.190676, 24.4399
-0.419057, -0.142105, 27.5817
-0.419057, -0.0935339, 31.7649
-0.419057, -0.0449627, 35.6184
-0.419057, 0.00360839, 38.2568
-0.419057, 0.0521795, 41.1382
-0.419057, 0.100751, 39.7669
-0.419057, 0.149322, 41.4159
-0.419057, 0.197893, 42.7872
-0.419057, 0.246464, 40.1314
-0.419057, 0.295035, 35.7746
-0.419057, 0.343606, 30.5325
-0.419057, 0.392177, 25.1169
-0.419057, 0.440749, 19.9442
-0.419057, 0.48932, 14.7021
-0.419057, 0.537891, 9.26911
-0.419057, 0.586462, 6.02319
-0.419057, 0.635033, 3.35007
-0.419057, 0.683604, 1.51014
-0.419057, 0.732175, 0.781105
-0.419057, 0.780747, 0.3298
-0.419057, 0.829318, 0.104147
-0.419057, 0.877889, 0.0520737
-0.419057, 0.92646, 0
-0.419057, 0.975031, 0
-0.369378, -0.919243, 0
-0.369378, -0.870672, 0.0347158
-0.369378, -0.822101, 0.0694315
-0.369378, -0.77353, 0.173579
-0.369378, -0.724959, 0.520737
-0.369378, -0.676387, 1.05883
-0.369378, -0.627816, 2.56897
-0.369378, -0.579245, 4.21797
-0.369378, -0.530674, 7.56804
-0.369378, -0.482103, 10.8834
-0.369378, -0.433532, 15.6047
-0.369378, -0.384961, 21.9057
-0.369378, -0.33639, 25.8806
-0.369378, -0.287818, 30.4457
-0.369378, -0.239247, 36.4516
-0.369378, -0.190676, 38.4477
-0.369378, -0.142105, 43.2211
-0.369378, -0.0935339, 47.4738
-0.369378, -0.0449627, 48.2896
-0.369378, 0.00360839, 51.0322
-0.369378, 0.0521795, 55.1981
-0.369378, 0.100751, 52.7333
-0.369378, 0.149322, 51.9174
-0.369378, 0.197893, 51.171
-0.369378, 0.246464, 45.3735
-0.369378, 0.295035, 42.7351
-0.369378, 0.343606, 37.1285
-0.369378, 0.392177, 30.9665
-0.369378, 0.440749, 23.8497
-0.369378, 0.48932, 17.1843
-0.369378, 0.537891, 12.6365
-0.369378, 0.586462, 7.56804
-0.369378, 0.635033, 4.35683
-0.369378, 0.683604, 1.90937
-0.369378, 0.732175, 0.746389
-0.369378, 0.780747, 0.277726
-0.369378, 0.829318, 0.173579
-0.369378, 0.877889, 0.0173579
-0.369378, 0.92646, 0.0173579
-0.369378, 0.975031, 0.0173579
-0.319699, -0.919243, 0.0347158
-0.319699, -0.870672, 0.0347158
-0.319699, -0.822101, 0.104147
-0.319699, -0.77353, 0.451305
